SN,Category,Group,Code,Activity Name ,Third Party,When,Risk Rating,Industry Risk,DNFBP,Notes,Description,Related Business Activities,Generated Keywords,,,,,
472,Trading,,4759,"Retail Sale Of Electrical Household Appliances, Furniture, Lighting Equipment And Other Household Articles In Specialized Stores",,N/A,Low,,,,,-,"household appliances retail, furniture store, lighting equipment sales, electrical goods shop, home articles retailer, specialized home goods store, appliance trading, household items shop",,,,,
473,Trading,,4759.01,Retail Sale Of Household Furniture,,N/A,Low,,,,,-,"household furniture retail, furniture store, home furnishings sale, furniture shop, retail furniture dealer, domestic furniture trading, furniture import/export, home decor retail",,,,,
474,Trading,,4759.02,Retail Sale Of Articles For Lighting,,N/A,Low,,,,,-,"lighting retail, light fixtures sale, lamps and bulbs shop, illumination products trading, wholesale lighting supplies, decorative lighting store, electric lighting retailer, lighting accessories sale",,,,,
475,Trading,,4759.03,"Retail Sale Of Household Utensils And Cutlery, Crockery, Glassware, China And Pottery",,N/A,Low,,,,,-,"household utensils retail, cutlery sale, crockery shop, glassware trading, china and pottery store, kitchenware wholesale, home goods retailer, tableware import",,,,,
476,Trading,,4759.04,"Retail Sale Of Wooden, Cork And Wickerwork Goods",,N/A,Low,,,,,-,"wooden goods retail, cork products store, wicker furniture sale, wickerwork shop, wooden crafts trading, cork and wicker goods wholesale, handmade wooden items, eco-friendly home decor",,,,,
477,Trading,,4759.05,Retail Sale Of Household Appliances,,N/A,Low,,,,,-,"household appliances retail, home appliance store, kitchen appliances shop, electronics retail, appliance sales, consumer electronics trading, home goods store, white goods seller",,,,,
478,Trading,,4759.06,Retail Sale Of Musical Instruments And Scores,,N/A,Low,,,,,-,"musical instruments retail, music scores sale, buy musical instruments, instrument shop, sheet music store, music gear retail, music instrument trading, wholesale musical instruments",,,,,
479,Trading,,4759.07,"Retail Sale Of Security Systems, Such As Locking Devices, Safes, And Vaults, Without Installation Or Maintenance Services",,N/A,Low,,,,,-,"security systems retail, locking devices sale, safes and vaults trading, security equipment shop, wholesale security products, home security retail, retail sale of locks, import security devices",,,,,
480,Trading,,4759.08,Retail Sale Of Household Articles And Equipment N.E.C.,,N/A,Low,,,,,-,"household goods retail, home articles store, domestic equipment sales, homeware shop, household items trading, retail home appliances, kitchenware shop, furniture and decor retail",,,,,
481,Trading,,4759.85,Chandeliers Trading,,N/A,Low,,,,"Includes reselling different chandeliers whether luxurious types coated with precious metals ad decorated with crystal, or normal types coated with other metals and decorated with glass.",-,"chandelier trading, chandelier wholesale, luxury chandeliers, crystal chandeliers, decorative lighting, import chandeliers, retail chandelier sales, chandelier distributor",,,,,
482,Trading,,4759.86,Light Fitting & Fixtures Trading,,N/A,Low,,,,,4773.33 Lighting Equipment & Requisites Trading,"light, fitting, fixing, trading, materials, electrical",,,,,
483,Trading,,4759.87,Cutlery & Silverware Trading,,N/A,Low,,,,"Includes reselling cutlery spoons and knives and other household trays, plates, candlesticks, whether made of silver or gold or silver-plated metal, or of stainless steel.",-,"cutlery trading, silverware wholesale, stainless steel utensils, kitchen cutlery supplier, household silverware, cutlery import export, knives and spoons trading, silver-plated dishes",,,,,
484,Trading,,4759.88,Household Utensils Trading,,N/A,Low,,,,"Includes reselling of various household utensils made of metal, glass, plastic, crystal, clay, ceramic, or wood, including bowls, plates, cups, and other food preparingitems, except electrically operated appliances and utensils which are classified under activity No. 5139-15. This also involves manual cleaners such as brooms, sweepers, garbage boxes, ironing boards, clothes horses and others.",-,"household utensils trading, kitchenware sales, cookware import, home goods retail, tableware wholesale, dinnerware trading, glassware and utensils, domestic utensils resale",,,,,
485,Trading,,4759.89,Air-Condition Trading,,N/A,Low,,,,"Includes reselling central and window air-conditions equipment as well as the split units, whether or not linked with general central air-conditioning system.",-,"AC trading, air-condition sales, HVAC sales",,,,,
486,Trading,,4759.9,Antennas Trading,,N/A,Low,,,,"Includes resellingthe electric devices which convert electric power into radio waves to use in radio and television broadcasting,  telecommunication receivers, wireless computer network, radar.",-,"antennas trading, antenna sales, radio wave devices, telecommunications equipment, wholesale antennas, retail antennas, antenna import/export, wireless network devices",,,,,
487,Trading,,4759.91,Ceramic & Chinaware Trading,,N/A,Low,,,,Includes reselling household utensils and art works made of ceramic or chinaware.,-,"ceramic trading, chinaware sales, wholesale ceramics, ceramic imports, household utensils trading, pottery retail, chinaware distributor, ceramic art trading",,,,,
488,Trading,,4759.92,Cookers & Cook Stoves Trading,,N/A,Low,,,,,-,"cookers trading, cook stoves sale, kitchen appliances wholesale, cooker retailer, stove import/export, cooking equipment trading, gas stoves distributor, electric cookers shop",,,,,
489,Trading,,4759.93,"Refrigerators, Washing Machines & Household Electrical Appliances Trading",,N/A,Low,,,,"Includes reselling refrigerators, freezers, water coolers, washing machines and dryers, dishwashers, vacuum cleaners, ironers, heaters, also, electric kitchenwares such as mixers, mincers, cutters, blenders, toasters, juice extractors, grinders, kettles, small scales and other household appliances.",-,"household appliances trading, refrigerator sales, washing machine retail, electrical appliance wholesale, kitchenware import/export, home appliance distributor, vacuum cleaner shop, appliance reselling",,,,,
490,Trading,,4759.94,Cloth Hangers Trading,,N/A,Low,,,,"Includes reselling the wire,  wooden or plastic hangers which are designed to facilitate the hanging of coats, jackets and other dress in a manner that prevents wrinkles.",-,"cloth hangers trading, wire hangers wholesale, wooden hangers supplier, plastic hangers retail, coat hangers import, hanger distributor, garment hangers trading, hangers for jackets",,,,,
491,Trading,,4759.95,Video Games Consoles Trading,,N/A,Low,,,,"Includes reselling video games consoles which enable visual playing when connected to televisions and computers, such as, PlayStation, Xbox, controllers, headphones, gaming seats, such firms are allowed to carry out repair and maintenance services for the equipment they deal in",-,"video games trading, console resale, gaming equipment import, PlayStation sales, Xbox wholesale, gaming accessories retail, gaming consoles distribution, video game repair services",,,,,
492,Trading,,4759.96,Domestic Kitchen & Fixture Trading,,N/A,Low,,,,Includes reselling household wooden or aluminium kitchens and fixtures tailored to the size of the kitchen and customers' specifications.,-,"kitchen fixtures trading, domestic kitchen sales, wholesale kitchen supplies, retail kitchen furniture, aluminum kitchen fixtures, wooden kitchen cabinets, kitchen trade, household fixture import/export",,,,,
493,Trading,,4759.97,Sponge Mattresses Trading,,N/A,Low,,,,"Includes reselling mattresses made of foam rubbers.
",-,"sponge mattresses trading, foam rubber mattresses, mattress wholesale, mattress retail, foam mattress distributor, sponge mattress supplier, mattress import/export, bedding trading",,,,,
494,Trading,,4759.98,"Bamboo, Cane & Wicker Products Trading",,N/A,Low,,,,"Includes reselling of  household mats, rugs, baskets made of bamboo, cane, wicker and other, furniture of the same is not involved.",-,"bamboo products trading, cane furniture wholesale, wicker baskets retail, household mats import, rugs trading, cane and wicker goods, bamboo home decor, bamboo crafts export",,,,,
495,Trading,,4759.99,Wax Candles Trading,,N/A,Low,,,,Includes reselling candles made from paraffin wax for lighting and decoration,-,"wax candles trading, candle import, paraffin wax candles wholesale, decorative candle retail, candle distributor, scented candles trading, candle export business, wax candle supplier",,,,,
496,Trading,476,4760,Retail Sale Of Cultural And Recreation Goods In Specialized Stores,,N/A,Low,,,,"This group includes the retail sale in specialized stores of cultural and recreation goods, 
such as books, newspapers, music and video recordings, sporting equipment, games and 
toys.",-,"cultural goods retail, recreation products store, specialized bookstore, sports equipment shop, toys and games retail, music and video sales, import cultural goods, wholesale recreation items",,,,,
497,Trading,,4761,"Retail Sale Of Books, Newspapers And Stationary In Specialized Stores",,N/A,Low,,,,,-,"bookstore, retail books, specialized book shop, newspaper sales, stationery store, books and magazines retail, import books, wholesale stationery",,,,,
498,Trading,,4761.01,Retail Sale Of Books Of All Kinds,,N/A,Low,,,,,-,"stationary, book, retail, book store",,,,,
499,Trading,,4761.02,Retail Sale Of Newspapers And Stationery,,N/A,Low,,,,,-,"newspaper retail, stationery shop, paper goods store, office supplies sale, print media sales, wholesale stationery, magazine outlet, newsagent",,,,,
500,Trading,,4761.03,"Retail Sale Of Office Supplies Such As Pens, Pencils, Paper Etc.",,N/A,Low,,,,,-,"office supplies retail, stationery shop, pens and paper sale, office equipment trading, wholesale office supplies, writing instruments store, stationery retailer, business supplies shop",,,,,
501,Trading,,4761.93,Books Trading,,N/A,Low,,,,Includes reselling different knowledge books in different languages,"4649.11  Wholesale of Stationery, Books, Magazines, and Newspapers","stationary, book, magazine, newspaper, pencil, pen, wholesale",,,,,
502,Trading,,4761.94,Educational Aids Trading,,N/A,Low,,,,"Includes reselling drawings, specimens, maps, samples, as well motion pictures and T.V. documentaries and slides usually used as educational and demonstratives.",-,"educational aids trading, teaching materials supply, educational resources wholesale, instructional tools distributor, learning aids retail, educational supplies trading, study materials import, classroom resources trading",,,,,
503,Trading,,4761.95,Stationery Trading,,N/A,Low,,,,"Includes reselling stationery, such as copying and writing paper, notebooks, record books, various types of pens and pencils, rulers, sharpeners, paper perforators, paper clipping requisites, ready stamps, typewriters ribbons and other stationery materials, also, drawing requisites including geometrical drawing pencils, decorative pens, rulers, triangular rulers, colors, color pencils, ink, drawing paper and others.",-,"stationery trading, office supplies wholesale, paper products retailer, pens and pencils shop, drawing materials trading, stationery import/export, office stationery supplier, bulk stationery sales",,,,,
504,Trading,,4761.96,Advertising Requisites Trading,,N/A,Low,,,,"Includes reselling indoor and outdoor advertising requisites like boards, electric and non-electric signs as well as promotional gifts and similar items.",-,"advertising supplies, promotional merchandise, signage trading, outdoor signs, indoor advertising boards, electric signs, retail advertising products, marketing materials",,,,,
505,Trading,,4761.97,Newspapers & Magazines Trading,,N/A,Low,,,,"Includes reselling of newspapers, magazines, directories, catalogues and other specialized publications used for promoting fashions, furniture, interior designs, household items and others.",-,"newspaper trading, magazine distribution, periodical sales, print media trading, wholesale magazines, retail newspapers, publishing trade, magazine import/export",,,,,
506,Trading,,4761.98,Invitation & Greeting Cards Trading,,N/A,Low,,,,"Includes reselling the cards exchanged by individuals on special occasions to feature an expression of friendship or other sentiments or to convey thanks, it involves invitation cards for different occasions and events. ",-,"invitation card trading, greeting cards wholesale, occasion cards retail, cards import/export, personalized invitation cards, stationery trading, event invitations supplier, greeting card distribution",,,,,
507,Trading,,4761.99,Multi-Dimensional Images Trading (Hologram),,N/A,Low,,,,"Includes firms that supply other concerns with multi-dimensional imaged posters, pictures and stampsas per their commercial and professional requiments, these firms are not involved in the production process, but by specialized printing houses which are classified under No. 2221-8.",-,"hologram trading, multi-dimensional images, 3D image posters, holographic prints, image supply business, wholesale holograms, hologram import/export, holographic picture trading",,,,,
508,Trading,,4762,Retail Sale Of Music And Video Recordings In Specialized Stores,,N/A,Low,,,,,-,"music store, video recordings retail, music albums shop, DVD sales, vinyl records retailer, specialized media store, music and video trading, audio recordings retail",,,,,
509,Trading,,4762.01,"Retail Sale Of Musical Records, Audio Tapes, Compact Discs And Cassettes",,N/A,Low,,,,,-,"music records retail, audio tapes sale, compact discs shop, cassette selling, vinyl records store, music merchandise trading, musical media wholesale, audio products import/export",,,,,
510,Trading,,4762.02,Retail Sale Of Video Tapes And Dvds,,N/A,Low,,,,,-,"video tape retail, DVD shop, movie rentals, film sales, video store, home entertainment retail, wholesale DVDs, media trading",,,,,
511,Trading,,4762.03,Retail Sale Of Blank Tapes And Discs,,N/A,Low,,,,,-,"blank tapes retail, blank discs sale, audio tapes trading, CD/DVD wholesale, media storage retail, recording media shop, tape and disc importer, optical discs distributor",,,,,
512,Trading,,4762.96,Blank Cassette Trading,,N/A,Low,,,,,-,"blank cassette trading, cassette import, cassette export, wholesale cassettes, retail blank tapes, audio tape trading, tape distributor, blank media trading",,,,,
513,Trading,,4762.97,Audio Recorded Media Trading,UAE Media Council (UAEMC),PRE,Low,,,,"Includes reselling audio materials recorded on cassettes and discs and other magnetic and optical recording media, including radio programs, songs, lectures, educational courses, religious materials.",-,"audio media trading, recorded audio materials, cassette and disc sales, wholesale audio products, audio content distribution, import/export audio media, educational audio trading, music and lecture resale",,,,,
514,Trading,,4762.98,Visual Recorded Media Trading,UAE Media Council (UAEMC),PRE,Low,,,,"Includes reselling visual materials recorded on cassettes and discs and other magnetic and optical recording media, including, video and television programs, songs, lectures, educational courses, religious materials, video games …etc.",-,"visual media trading, video trading, recorded media reselling, optical media wholesale, cassettes and discs trading, educational video sales, video game distribution, media import export",,,,,
515,Trading,,4762.99,Motion Picture Trading,UAE Media Council (UAEMC),PRE,Low,,,,"Includes reselling directly to the public motion pictures, whether on video tapes or on compact discs",-,"motion picture trading, movie resale, film distribution, video tape sales, DVD trading, cinema merchandise, motion picture retail, video media trading",,,,,
516,Trading,,4763,Retail Sale Of Sporting Equipment In Specialized Stores,,N/A,Low,,,,,-,"sporting goods store, sports equipment retail, athletic gear shop, fitness equipment sales, outdoor sports supplies, wholesale sporting goods, import sports equipment, specialized sports retail",,,,,
517,Trading,,4763.01,"Retail Sale Of Sports Goods, Fishing Gear, Camping Goods, Boats And Bicycles",,N/A,Low,,,,,-,"retail, specialized, sports, trading, boat, bicycle, camping, fishing",,,,,
518,Trading,,4763.89 ,Hunting?Requisites Trading ,Security Industry Regulatory Agency (SIRA) ,PRE ,High,,,,,-,"hunting gear trading, hunting equipment wholesale, outdoor sports requisites, hunting supplies retail, firearms accessories trading, shooting gear import, hunting apparel sale, archery supplies distribution",,,,,
519,Trading,,4763.90 ,Fishing Tackles Trading ,,N/A ,Low,,,,,-,"fishing tackle trading, fishing gear wholesale, tackle shop, fishing equipment retail, angling supplies distributor, bait and tackle import, fishing rods and reels trading, fishing accessories shop",,,,,
520,Trading,,4763.91,Diving Equipment Trading,The Dubai Maritime Authority (DMA),PRE,Low,,,,"Includes reselling recreational and professional diving equipment, such as, snorkel, mask, rebreather, weighing system, depth gauge, fins, suits, buoyancy control device, cylinders, such firms are allowed to carry out repair and maintenance services for the equipment they deal in.",-,"diving gear trading, scuba equipment sales, snorkel and mask retailer, diving equipment wholesale, underwater gear import/export, buoyancy control device supplier, diving accessories shop, rebreather trading",,,,,
521,Trading,,4763.93,Sport Equipment Trading,,N/A,Low,,,,"Includes reselling fixed sports equipment to perform various exercises, such as, running and walking treadmill, tennis tables, nets, spears and poles, water sports equipment, such as, diving, skiing or sailing, as well as winners’ trophies, such as, cups, medals, shields cups, medals, such firms are allowed to carry out repair and maintenance services for the equipment they deal in.",-,"sport, equipment, games, trading",,,,,
522,Trading,,4763.94,Ships & Boats Trading,The Dubai Maritime Authority (DMA),PRE,High,,,,"Includes reselling different metal and wood commercial vessels used in transportation such as  cargo ships, tankers, long and short distance passenger vessels, tourist, fishing boats and fish-processing factory vessels, recreation-type hovercraft, tugboats, also metal and wood rescue boats, fishing boats, recreation and sport boats.",-,"ships trading, boat sales, vessel trading, cargo ships wholesale, fishing boats retail, passenger vessels import, recreational boats export, tugboats dealer",,,,,
523,Trading,,4763.95,"Ships, Boats Spare Parts & Components Trading",The Dubai Maritime Authority (DMA),PRE,Low,,,,,-,"boat parts trading, ship components wholesale, marine spare parts import, boat accessories retail, vessel parts distributor, nautical equipment trading, marine supplies shop, boat repair components",,,,,
524,Trading,,4763.96,Camping Requisites Trading,,N/A,Low,,,,"Includes reselling of camping and picnics food and beverage preserving utensils, lightenings, tents, linen, clothes, shoes, kits and other requisites usually used in camping and picnics.",-,"camping gear trading, outdoor equipment retail, picnic supplies wholesale, camping accessories import, tents and sleeping bags, hiking apparel store, camping essentials distributor, outdoor recreation trading",,,,,
525,Trading,,4763.97,Sports Fields &Halls Equipment Trading,,N/A,Low,,,,,-,"sports equipment trading, sports fields equipment, sports halls supplies, wholesale sports gear, retail sports merchandise, athletic equipment import, sports facility equipment, fitness equipment distribution",,,,,
526,Trading,,4763.98,Bicycles & Spare Parts Trading,,N/A,Low,,,,"Includes reselling the two or three wheeled bicycles used for recreation, transportation, racing and as children's toys, such firms are allowed to carry out the repair and maintenance services ",-,"bicycles trading, bicycle spare parts, bike retail, bicycle import export, wholesale bikes, bike accessories trading, cycling equipment sales, bicycle repair services",,,,,
527,Trading,,4763.99,Horse Equestrian Equipment & Requisites Trading,,N/A,Low,,,,"Includes reselling of saddles, reins and other horse riding accessories, also, breeding, training, feeding and caring related requisites other than uniforms.",-,"horse riding equipment, equestrian accessories trading, saddles and reins, horse gear wholesale, equine supplies retail, horse accessories import/export, riding gear trader, equestrian goods seller",,,,,
528,Trading,,4764,Retail Sale Of Games And Toys In Specialized Stores,,N/A,Low,,,,,-,"toy store, games shop, specialized toy retail, children's toys, board games retail, toy import, toy wholesale, game retailers",,,,,
529,Trading,,4764.01,"Retail Sale Of Games And Toys, Made Of All Materials",,N/A,Low,,,,,-,"games retail, toy store, children's toys, game shop, toy sales, wholesale toys, import toys, board games retail, stuffed animals shop",,,,,
530,Trading,,4764.98,Toys & Games Trading,,N/A,Low,,,,"Includes reselling children's toys and dolls, manual, electric or electronic games, bicycles, cars, boats, airplanes and other toys for children use.",-,"toys trading, games wholesale, children's toys import, doll retailer, electric games distributor, bicycle trading, toy store, kids games export",,,,,
531,Trading,,4764.99,Kids Rides & Games Trading,,N/A,Low,,,,"Includes reselling in-door children rides and games, as well as those installed in public parks and gardens for children entertainmen, including swings, slides, house and aircraft models, whether made of solid and safe materials or of inflatable objects.",-,"kids rides trading, children's games sales, indoor rides for kids, playground equipment retail, inflatable toys trading, swings and slides supplier, children's entertainment import/export, kids amusement products wholesaler",,,,,
532,Trading,477,4770,Retail Sale Of Other Goods In Specialized Stores,,N/A,Low,,,,"This group includes the sale in specialized stores carrying a particular line of products 
not included in other parts of the classification, such as clothing, footwear and leather 
articles, pharmaceutical and medical goods, watches, souvenirs, cleaning materials, 
weapons, flowers and pets and others. Also included is the retail sale of used goods in 
specialized stores",-,"specialty retail, niche store, specialized goods sales, unique product shop, retail of specific items, boutique selling, curated goods store, specialized merchandise",,,,,
533,Trading,,4771,"Retail Sale Of Clothing, Footwear And Leather Articles In Specialized Stores",,N/A,Low,,,,,-,"retail clothing, footwear shop, leather goods store, fashion retail, apparel sales, specialized clothing store, shoe store, leather accessories retailer",,,,,
534,Trading,,4771.01,Retail Sale Of Articles Of Clothing,,N/A,Low,,,,,-,"clothing retail, apparel store, fashion shop, garment sales, clothing boutique, apparel trading, wholesale clothing, textile retail",,,,,
535,Trading,,4771.02,Retail Sale Of Articles Of Fur,,N/A,Low,,,,,-,"fur retail, fur articles sale, fur clothing store, fur accessories shop, wholesale fur trade, fur garments selling, fur import/export, luxury fur retail",,,,,
536,Trading,,4771.03,"Retail Sale Of Clothing Accessories Such As Gloves, Ties, Braces Etc.",,N/A,Low,,,,,-,"clothing accessories retail, fashion accessories store, gloves and ties shop, apparel accessories sale, accessories wholesaler, ties and braces retailer, fashion items trading, clothing adornments retail",,,,,
537,Trading,,4771.04,Retail Sale Of Umbrellas,,N/A,Low,,,,,-,"umbrella shop, retail umbrellas, buy umbrellas online, umbrella store, wholesale umbrellas, imported umbrellas, umbrella sales, patio umbrellas",,,,,
538,Trading,,4771.05,Retail Sale Of Footwear,,N/A,Low,,,,,-,"footwear retail, shoe store, sneaker shop, footwear selling, shoe outlet, shoe wholesale, footwear import, footwear trading",,,,,
539,Trading,,4771.06,Retail Sale Of Leather Goods,,N/A,Low,,,,,-,"leather goods retail, leather handbags, leather accessories shop, leather products wholesaler, leather goods trading, leather merchandise store, imported leather items, luxury leather retail",,,,,
540,Trading,,4771.07,Retail Sale Of Travel Accessories Of Leather And Leather Substitutes,,N/A,Low,,,,,-,"leather travel accessories, travel goods retail, luggage and bags, leather goods store, travel gear shop, leather substitute products, wholesale leather accessories, imported travel items",,,,,
541,Trading,,4771.81,Face Masks & Gloves Trading,,N/A,Low,,,,"Includes reselling face masks and respirators intended for protection against particles and viruses, and prevent the transmission of viruses and microbes from infected person to a healthy one, or infections to be transmitted via contaminated hand contact with the mouth,  it includes also the gloves used by health care professional s to prevent the transmission of viruses and bacteria.",-,"face masks trading, gloves wholesale, PPE import/export, personal protective equipment, mask supplier, healthcare gloves distributor, virus protection gear, medical masks retail",,,,,
542,Trading,,4771.82,Men'S Garment Trading,,N/A,Low,,,,"Includes reselling men's garments, such as shirts, suits, coats, jackets, socks, ties and others.",-,"Mens store, Mensware, Mens clothes, clothes, garments, mens garment, trading, wholesale",,,,,
543,Trading,,4771.83,Ladies Garment Trading,,N/A,Low,,,,,-,"clothes, garments, ladies garment, trading, wholesale, Ladies clothes, Ladieswear, Suits",,,,,
544,Trading,,4771.84,Baby Wear Trading,,N/A,Low,,,,,-,"Kidswear, Clothes, Kids store",,,,,
545,Trading,,4771.85,Men Underwears Trading,,N/A,Low,,,,"Includes reselling men undergarments made of woven, knitted or crocheted fabric to be worn under other clothes, whether over the waist like T-shirts or below the waist like pants.",-,"undergarments, mens, gents, trading, wholesale, Mens store, Mensware, Mens clothes",,,,,
546,Trading,,4771.86,Arab Wear Trading,,N/A,Low,,,,,-,"arab wear trading, traditional clothing wholesale, middle eastern garments retail, abaya supplier, thobe distributor, islamic fashion trading, ethnic wear import/export, modest clothing shop",,,,,
547,Trading,,4771.87,Garments Accessories Trading,,N/A,Low,,,,"Includes reselling wide range of metal and plastic garments accessories such as buttons, fabrics interlining, beads, fancy belt buckles, hooks, snap fasteners, safety pins, tags, packing clips. ",-,"garments accessories trading, clothing accessories wholesale, buttons and beads supplier, fabric interlining distributor, fancy belt buckles retail, snap fasteners import/export, garment tags trading, safety pins wholesale",,,,,
548,Trading,,4771.88,Sports Wear Trading,,N/A,Low,,,,"Includes reselling sportswear for exercising sports, including socks, shoes, hats, gloves, balls, bags and training suits.",-,"sportswear trading, athletic apparel wholesale, exercise clothing retail, fitness gear import, sports equipment distributor, activewear shop, sports apparel trade, workout clothes seller",,,,,
549,Trading,,4771.89,Protective Garments & Vests Trading,,N/A,Low,,,,"Includes reselling protective costumes and vests for different uses, like fire resistant wears, athletes and medical wears, also, body cooling vests, which can be wore under and above clothes.",-,"protective clothing, safety garments, vests trading, workwear, safety apparel",,,,,
550,Trading,,4771.9,Uniforms Trading,,N/A,Low,,,,"Includes reselling readymade uniforms, such as military, hotels, airlines, school uniforms and others, as well as requisites including, hats, helmets, socks, gloves, shoes, ties, bags, badges and others, it excludes military clothing and uniforms.",-,"uniforms trading, school uniforms, hotel uniforms, airline uniforms, military attire, workwear supply, uniform wholesaler, custom uniforms",,,,,
551,Trading,,4771.91,Imitation Jewellery Trading,,N/A,Low,,,,"Includes reselling costume or imitation jewellery, such as  brooches, earnings, necklaces, bracelets, rings made from base metals
plated with precious metals, or jewellery containing imitation stones such as imitation gems stones, imitation diamonds.
",-,"imitation jewellery, fashion jewelry, costume jewelry, artificial jewelry, jewellery trading, accessory trading",,,,,
552,Trading,,4771.92,Sticks & Umbrellas Trading,,N/A,Low,,,,"Includes reselling sun-umbrellas, walking sticks, seat-sticks",-,"umbrella trading, sun umbrella reseller, walking stick import, seat stick wholesale, patio umbrella retail, outdoor shades trading, stick and umbrella supplier, sunshade distributor",,,,,
553,Trading,,4771.93,Women Underwears Trading,,N/A,Low,,,,"Includes reselling undergarments for women and children made of woven, knitted or crocheted fabric to be worn under other clothes, whether over the waist like T-shirts or below the waist like pants, services in the store should be provided by females.",-,"undergarments, women, gents, trading, wholesale, ladies, Ladies clothes, Ladieswear, Lengerie",,,,,
554,Trading,,4771.95,Ready-Made Garments Trading,,N/A,Low,,,,,-,"ready-made garments, clothing trading, apparel wholesale, garment export, fashion retail, clothing import, ready-to-wear trading, garment distribution",,,,,
555,Trading,,4771.96,Handbags & Leather Products Trading,,N/A,Low,,,,"Includes reselling of handbags made out of leather, fiber, textil or plastic, also, leather purses, belts, leather, and office requisites,leather clothes are excluded.",-,"handbags trading, leather products wholesale, purse import/export, leather goods retail, handbag reseller, fiber and textile bags, luxury handbag trading, leather accessories distribution",,,,,
556,Trading,,4771.97,Suitcases & Travel Requisites Trading,,N/A,Low,,,,"Includes reselling of various travelling  leather, metal, plastic or textile and fabrics suitcases and bags,as well as luggage wrapping and transporting and any other item used only for travelling.",-,"suitcase trading, travel bags wholesale, luggage retailer, travel requisites import, baggage store, suitcases for sale, luggage accessories trading, travel gear distribution",,,,,
557,Trading,,4771.98,Slippers & Sandals Trading,,N/A,Low,,,,"Includes reselling footwear made from leather, rubber or plastic and intended to protect and comfort the human foot while doing various activities.",-,"slippers trading, sandals wholesale, footwear import/export, rubber sandals retailer, leather slippers supplier, plastic footwear trading, comfortable footwear sale, shoe distribution",,,,,
558,Trading,,4771.99,Shoe Trading,,N/A,Low,,,,"Includes reselling footwear made from leather, rubber or plastic and intended to protect and comfort the human foot while doing various activities.",-,"shoe trading, footwear wholesale, shoe retail, sneaker import, leather shoes distribution, rubber footwear trade, plastic shoe sales, footwear reselling",,,,,
559,Trading,,4772,"Retail Sale Of Pharmaceutical And Medical Goods, Cosmetic And Toilet Articles In Specialized Stores",Dubai Health Authority (DHA),PRE,Low,,,,,-,"pharmaceutical retail, medical goods store, cosmetics shop, beauty products retail, toiletry articles sale, health and wellness products, specialized pharmacy, skincare retail",,,,,
560,Trading,,4772.01,Retail Sale Of Pharmaceuticals,Dubai Health Authority (DHA),PRE,Low,,,,,-,"pharmacy retail, drugstore, pharmaceutical sales, medicine shop, health products retail, prescription drugs selling, over-the-counter medications, pharma trading",,,,,
561,Trading,,4772.02,Retail Sale Of Medical And Orthopedic Goods,,N/A,Low,,,,,-,"medical supplies retail, orthopedic goods shop, healthcare products sale, medical equipment trading, orthopedic supplies store, wholesale medical goods, retail pharmacy, health and wellness products",,,,,
562,Trading,,4772.03,Retail Sale Of Perfumery And Cosmetic Articles,,N/A,Low,,,,,-,"perfume shop, cosmetics retail, beauty products store, fragrance selling, wholesale perfume, skincare articles trading, makeup products retailer, personal care items shop",,,,,
563,Trading,,4772.88,Pharmacy,Dubai Health Authority (DHA),PRE,Low,,,,"A specialized facility licensed to sell and prepare registered drugs, pharmaceuticals, medical supplies and dispense herbal and medical drugs against medical prescription, according to the laws and regulations issued by competent authority of UAE. It is supervised by a licensed pharmacist who works permanently in the pharmacy.",-,"pharmacy, drugstore, pharmaceutical retail, medicine shop, herbal medicine, medical supplies, prescription drugs, pharmacy wholesale",,,,,
564,Trading,,4772.89,Medicinal Chemicals Trading,Dubai Police (DP),PRE,Low,,,,,-,"medicinal chemicals trading, pharmaceutical chemicals wholesale, herbal extracts import/export, chemicals distributor, medicinal products retail, chemical supplies trade, prescription medication trading, active pharmaceutical ingredients trading",,,,,
565,Trading,,4772.9,Para-Pharmaceutical Products Trading,,N/A,Low,,,,,-,"para-pharmaceutical trading, para-pharmaceutical products wholesale, import para-pharmaceuticals, export para-pharmaceutical goods, para-pharmaceutical retail, health products trading, pharmaceutical trading, wellness products distributor",,,,,
566,Trading,,4772.91,"Medical, Surgical Articles & Requisites Trading",,N/A,Low,,,,,-,"medical, pharmacy, harmaceutical, medicine, surgical, articles, materials, equipments, medicine, pharmacy, trading, health, pharmaceutical, medical, surgical",,,,,
567,Trading,,4772.93,Agarwood & Incense Trading,,N/A,Low,,,,"Includes reselling agarwood, oriental perfumes, various types of incense, as well as bottles, empty boxes, vaporizers...etc.",-,"agarwood trading, incense wholesale, oriental perfumes import, agarwood reseller, incense retail, fragrance trading, perfume bottles supplier, vaporizer distributor",,,,,
568,Trading,,4772.94,Beauty & Personal Care Requisites Trading,,N/A,Low,,,,"Includes reselling of personal beauty treatment scissors ( hair and nails), shaving articles and brushes( hear, teeth and shaving), combs, small mirrors, rasps, wigs, hair dryers and shaving devices (except cosmetics which are classified in No. 5132-6)",-,"beauty supplies trading, personal care products wholesale, hair care accessories retail, beauty tools import, grooming products distributor, personal grooming items trading, hair styling equipment, beauty requisites reselling",,,,,
